Country,Year,ConflictDeaths
Afghanistan,1989,5174
Afghanistan,1990,1478
Afghanistan,1991,3302
Afghanistan,1992,4276
Afghanistan,1993,3721
Afghanistan,1994,8937
Afghanistan,1995,5516
Afghanistan,1996,3177
Afghanistan,1997,6396
Afghanistan,1998,6256
Afghanistan,1999,4629
Afghanistan,2000,5235
Afghanistan,2001,2328
Afghanistan,2002,30
Afghanistan,2003,660
Afghanistan,2004,711
Afghanistan,2005,1628
Afghanistan,2006,4734
Afghanistan,2007,6848
Afghanistan,2008,5655
Afghanistan,2009,6390
Afghanistan,2010,7038
Afghanistan,2011,7423
Afghanistan,2012,7730
Afghanistan,2013,8048
Afghanistan,2014,12351
Afghanistan,2015,17285
Afghanistan,2016,17916
Afghanistan,2017,18974
Afghanistan,2018,25679
Afghanistan,2019,29903
Afghanistan,2020,20475
Afghanistan,2021,35593
Afghanistan,2022,870
Afghanistan,2023,223
Afghanistan,2024,133
"Afghanistan, Pakistan",2024,61
"Afghanistan, United Kingdom, United States of America",2001,1397
Algeria,1991,34
Algeria,1992,257
Algeria,1993,800
Algeria,1994,1916
Algeria,1995,3008
Algeria,1996,1084
Algeria,1997,1403
Algeria,1998,3029
Algeria,1999,1031
Algeria,2000,947
Algeria,2001,642
Algeria,2002,539
Algeria,2003,670
Algeria,2004,451
Algeria,2005,229
Algeria,2006,255
Algeria,2007,472
Algeria,2008,339
Algeria,2009,505
Algeria,2010,236
Algeria,2011,267
Algeria,2012,256
Algeria,2013,147
Algeria,2014,107
Algeria,2015,110
Algeria,2016,86
Algeria,2017,60
Algeria,2018,33
Algeria,2020,26
Angola,1989,2810
Angola,1990,2558
Angola,1991,516
Angola,1992,2346
Angola,1993,12054
Angola,1994,3975
Angola,1995,187
Angola,1996,29
Angola,1997,51
Angola,1998,1066
Angola,1999,2273
Angola,2000,1000
Angola,2001,1123
Angola,2002,521
Angola,2003,25
Angola,2004,25
Angola,2007,25
Angola,2009,25
Angola,2016,25
Angola,2017,25
Angola,2019,25
Angola,2020,25
Angola,2022,25
Angola,2024,25
"Australia, Iraq, United Kingdom, United States of America",2003,7927
Azerbaijan,1991,35
Azerbaijan,1992,2167
Azerbaijan,1993,1231
Azerbaijan,1994,1507
Azerbaijan,1995,44
Azerbaijan,1997,29
Azerbaijan,1998,34
Azerbaijan,2005,25
Azerbaijan,2008,30
Azerbaijan,2012,25
Azerbaijan,2014,46
Azerbaijan,2015,72
Azerbaijan,2016,141
Azerbaijan,2017,36
Azerbaijan,2020,7646
Azerbaijan,2021,40
Azerbaijan,2022,308
Azerbaijan,2023,462
Bangladesh,1989,26
Bangladesh,1990,45
Bangladesh,1991,25
Bangladesh,2005,62
Bangladesh,2006,57
Bangladesh,2016,41
Bangladesh,2017,47
Benin,2022,30
Benin,2023,28
Benin,2024,77
Bosnia-Herzegovina,1992,16882
Bosnia-Herzegovina,1993,13160
Bosnia-Herzegovina,1994,6936
Bosnia-Herzegovina,1995,8549
Burkina Faso,2018,79
Burkina Faso,2019,349
Burkina Faso,2020,512
Burkina Faso,2021,991
Burkina Faso,2022,2093
Burkina Faso,2023,4608
Burkina Faso,2024,2199
Burundi,1991,272
Burundi,1992,61
Burundi,1994,56
Burundi,1995,382
Burundi,1996,987
Burundi,1997,1159
Burundi,1998,843
Burundi,1999,781
Burundi,2000,1529
Burundi,2001,1246
Burundi,2002,1293
Burundi,2003,912
Burundi,2004,433
Burundi,2005,298
Burundi,2006,141
Burundi,2008,226
Burundi,2014,56
Burundi,2015,185
Burundi,2019,61
Burundi,2020,139
Burundi,2021,26
Burundi,2022,242
Burundi,2023,93
Burundi,2024,60
Cambodia (Kampuchea),1989,818
Cambodia (Kampuchea),1990,274
Cambodia (Kampuchea),1991,220
Cambodia (Kampuchea),1992,118
Cambodia (Kampuchea),1993,274
Cambodia (Kampuchea),1994,464
Cambodia (Kampuchea),1995,694
Cambodia (Kampuchea),1996,788
Cambodia (Kampuchea),1997,415
Cambodia (Kampuchea),1998,246
"Cambodia (Kampuchea), Thailand",2011,29
Cameroon,2015,995
Cameroon,2016,221
Cameroon,2017,98
Cameroon,2018,754
Cameroon,2019,693
Cameroon,2020,429
Cameroon,2021,581
Cameroon,2022,406
Cameroon,2023,359
Cameroon,2024,231
"Cameroon, Nigeria",1996,56
Central African Republic,2001,195
Central African Republic,2002,131
Central African Republic,2006,46
Central African Republic,2009,28
Central African Republic,2010,25
Central African Republic,2011,44
Central African Republic,2012,45
Central African Republic,2013,376
Central African Republic,2014,136
Central African Republic,2015,27
Central African Republic,2017,35
Central African Republic,2018,103
Central African Republic,2019,51
Central African Republic,2020,57
Central African Republic,2021,906
Central African Republic,2022,675
Central African Republic,2023,261
